category,column_name,count
null_blank,CUSTOMER_ID,0
null_blank,CUSTOMER_NAME,0
null_blank,EMAIL,2
null_blank,AGE,0
null_blank,SALARY,1
null_blank,JOIN_DATE,1
null_blank,COUNTRY_CODE,0
null_blank,STATUS,0
duplicates,ALL_COLUMNS,0
duplicate_primary_keys,CUSTOMER_ID,2
outliers,CUSTOMER_ID,0
outliers,CUSTOMER_NAME,0
outliers,EMAIL,0
outliers,AGE,3
outliers,SALARY,2
outliers,JOIN_DATE,0
outliers,COUNTRY_CODE,0
outliers,STATUS,0
mixed_types,CUSTOMER_ID,0
mixed_types,AGE,0
mixed_types,SALARY,0
mixed_types,JOIN_DATE,1
invalid_dates,JOIN_DATE,1
invalid_emails,EMAIL,2
negative_values,AGE,1
negative_values,SALARY,1
special_characters,CUSTOMER_NAME,0
missing_mandatory_columns,STRUCTURE,0
datatype_violations,CUSTOMER_ID,0
datatype_violations,EMAIL,0
datatype_violations,AGE,0
datatype_violations,SALARY,0
datatype_violations,JOIN_DATE,1
datatype_violations,COUNTRY_CODE,0
datatype_violations,STATUS,0
range_violations,AGE,2
range_violations,SALARY,2
pattern_violations,EMAIL,2
pattern_violations,COUNTRY_CODE,0
pattern_violations,STATUS,0
allowed_value_violations,STATUS,1
allowed_value_violations,COUNTRY_CODE,1
referential_integrity,REFERENCE,0
business_rule_violations,active_customer_should_have_join_date,1
